file,page,status,Nombre,Gestora,Depositaria,N_Registro
Boletin_completo_02-11-2004_al_08-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"CAIXASABADELL PROTECCIO I, FI","AHORRO CORPORACION GESTION, S.G.I.I.C., S.A.",CAIXA D´ESTALVIS DE SABADELL,3043
Boletin_completo_02-11-2004_al_08-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"RURAL GARANTIZADO RENTA VARIABLE IV, FI","GESCOOPERATIVO, S.A., S.G.I.I.C.","BANCO COOPERATIVO ESPAÑOL, S.A.",3044
Boletin_completo_02-11-2004_al_08-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"FONDUERO CAPITAL GARANTIZADO 5, FI","GESDUERO, S.G.I.I.C., S.A.",CAJA DE AHORROS DE SALAMANCA Y SORIA,3045
Boletin_completo_02-11-2004_al_08-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"EL MONTE AHORRO AÑO II, FI","AHORRO CORPORACION GESTION, S.G.I.I.C., S.A.",MONTE DE PIEDAD Y CAJA DE AHORROS DE HUELVA Y SEVILLA,3046
Boletin_completo_02-11-2004_al_08-11-2004.pdf,3,BAJAS,"BAJAS FONCAIXA FUTURO 49, FI",,,1435
Boletin_completo_09-11-2004_al_15-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"PBP INSIGNIA, FI","POPULAR GESTION PRIVADA, S.G.I.I.C., S.A.","BANCOVAL, S.A.",3047
Boletin_completo_09-11-2004_al_15-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"AVIVA TRIPLE ALPHA, FI","INVERSEGUROS GESTION, S.A., S.G.I.I.C.","INVERSEGUROS, SOCIEDAD DE VALORES Y BOLSA, S.A.",3048
Boletin_completo_09-11-2004_al_15-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"BBVA PLAN RENTAS 2007, FI","BBVA GESTION, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A.",3049
Boletin_completo_09-11-2004_al_15-11-2004.pdf,3,NUEVAS_INSCRIPCIONES,"BBVA PLAN RENTAS 2010, FI","BBVA GESTION, S.A., SGIIC","BANCO DEPOSITARIO BBVA, S.A.",3050
Boletin_completo_09-11-2004_al_15-11-2004.pdf,3,BAJAS,"CAIXA CATALUNYA EUROPA MIXT 75, FI",,,1101
